spp_com,dbh,date_plant,neighborhood,POINT_X,POINT_Y
"Linden, Littleleaf",10,--,East Boston,-71.01704,42.38376
"Oak, Sawtooth",2,Spring 2025,Allston-Brighton,-71.12705,42.35053
"Maple, Red",2,--,Central Boston,-71.05453,42.36131
Honeylocust,2,--,Fenway/Longwood,-71.10735,42.35029
Elm,4,--,Charlestown,-71.05978,42.37265
"Linden, Littleleaf",12,--,East Boston,-71.03924,42.38294
"Oak, Northern Red",13,--,Allston-Brighton,-71.12676,42.35063
Honeylocust,4,--,Central Boston,-71.05708,42.36293
"Pear, Callery",20,--,Fenway/Longwood,-71.10304,42.34897
"Maple, Red",2,--,Central Boston,-71.0546,42.36134
"Oak, Willow",3,--,Charlestown,-71.06176,42.38029
"Linden, Littleleaf",17,--,Back Bay/Beacon Hill,-71.08271,42.3526
"Zelkova, Japanese",4,--,Charlestown,-71.07134,42.38163
Honeylocust,7,--,Fenway/Longwood,-71.09804,42.34882
Honeylocust,17,--,Charlestown,-71.06967,42.37798
"Maple, Red",6,--,Fenway/Longwood,-71.10147,42.34922
Honeylocust,10,--,Back Bay/Beacon Hill,-71.07459,42.35168
"Maple, Norway",6,--,Charlestown,-71.06133,42.37255
"Oak, Northern Red",3,--,Fenway/Longwood,-71.09872,42.34889
"Linden, Littleleaf",14,--,South End,-71.08038,42.34265
Honeylocust,8,--,Fenway/Longwood,-71.09915,42.3493
"Oak, Bur",2,Spring 2024,Fenway/Longwood,-71.10326,42.35055
"Hawthorn, Washington",9,--,East Boston,-71.00881,42.39006
"Oak, Shingle",2,--,Charlestown,-71.06068,42.37324
Honeylocust,24,--,Charlestown,-71.06945,42.37789
"Sweetgum, Common",19,--,Fenway/Longwood,-71.10143,42.35049
"Maple, Red",6,--,Fenway/Longwood,-71.1013,42.3492
Ginkgo,2,--,Central Boston,-71.05774,42.35068
"Linden, Littleleaf",19,--,Fenway/Longwood,-71.10363,42.35014
"Maple, Red",6,--,Fenway/Longwood,-71.10156,42.34923
Apple/Crabapple,1,--,East Boston,-71.03444,42.3665
Honeylocust,13,--,Fenway/Longwood,-71.09951,42.34934
Honeylocust,7,--,Fenway/Longwood,-71.0997,42.34936
"Maple, Norway",8,--,Dorchester,-71.0672,42.29232
Honeylocust,12,--,Charlestown,-71.06146,42.37217
"Pear, Callery",15,--,Back Bay/Beacon Hill,-71.08032,42.3445
Honeylocust,18,--,Charlestown,-71.06949,42.37798
"Planetree, London",10,--,Charlestown,-71.06737,42.38139
Honeylocust,14,--,Fenway/Longwood,-71.09993,42.34941
"Linden, Littleleaf",8,--,Fenway/Longwood,-71.10368,42.34997
"Oak, Northern Red",21,--,Charlestown,-71.06873,42.37892
"Hophornbeam, Eastern",2,Fall 2024,Fenway/Longwood,-71.09806,42.35008
"Sweetgum, Common",23,--,Fenway/Longwood,-71.09604,42.34994
"Oak, Northern Red",7,--,Back Bay/Beacon Hill,-71.07771,42.34892
Honeylocust,17,--,Charlestown,-71.06971,42.37806
"Linden,Littleleaf 'Greenspire'",5,--,Fenway/Longwood,-71.09906,42.35028
"Dogwood, Kousa",3,--,East Boston,-71.00668,42.39294
"Oak, Northern Red",7,--,Back Bay/Beacon Hill,-71.07784,42.34881
"Maple, Red",3,--,Back Bay/Beacon Hill,-71.08439,42.34949
"Oak, Northern Red",9,--,Back Bay/Beacon Hill,-71.0776,42.34901
"Maple, Red",6,--,Fenway/Longwood,-71.09544,42.3487
"Sweetgum, Common",20,--,Fenway/Longwood,-71.0955,42.35003
"Oak, Northern Red",9,--,Back Bay/Beacon Hill,-71.07778,42.34886
Scheduled Planting Site - Fall 2025,0,--,Back Bay/Beacon Hill,-71.08542,42.34565
"Zelkova, Japanese",10,--,Fenway/Longwood,-71.09518,42.34924
"Oak, Pin",10,--,Charlestown,-71.05347,42.378
"Zelkova, Japanese",5,--,Fenway/Longwood,-71.09517,42.34872
"Oak, Northern Red",23,--,Fenway/Longwood,-71.10524,42.34909
"Elm, American",11,--,Back Bay/Beacon Hill,-71.08434,42.34975
Honeylocust,19,--,Back Bay/Beacon Hill,-71.08495,42.34902
Honeylocust,6,--,Back Bay/Beacon Hill,-71.07504,42.35155
Honeylocust,3,--,Back Bay/Beacon Hill,-71.07134,42.3527
"Elm, American",7,--,Charlestown,-71.06841,42.37863
"Oak, Northern Red",22,--,Central Boston,-71.07037,42.34967
Honeylocust,17,--,Back Bay/Beacon Hill,-71.07751,42.35064
"Maple, Hedge",2,--,East Boston,-71.00062,42.39107
Honeylocust,6,--,Back Bay/Beacon Hill,-71.07211,42.35232
Ginkgo,5,--,Back Bay/Beacon Hill,-71.08279,42.34854
Honeylocust,9,--,Back Bay/Beacon Hill,-71.07607,42.35129
Honeylocust,13,--,Back Bay/Beacon Hill,-71.08734,42.34838
"Oak, Northern Red",16,--,Central Boston,-71.07024,42.34977
Ginkgo,3,--,Back Bay/Beacon Hill,-71.08289,42.34851
Honeylocust,2,--,Back Bay/Beacon Hill,-71.07256,42.35221
Honeylocust,8,--,Back Bay/Beacon Hill,-71.07691,42.35119
"Linden, Littleleaf",9,--,Back Bay/Beacon Hill,-71.07332,42.35161
Honeylocust,3,--,Back Bay/Beacon Hill,-71.07417,42.34908
Honeylocust,7,--,Back Bay/Beacon Hill,-71.0724,42.35226
Ginkgo,3,--,Back Bay/Beacon Hill,-71.08299,42.34848
Honeylocust,6,--,Back Bay/Beacon Hill,-71.07227,42.35228
Honeylocust,14,--,Back Bay/Beacon Hill,-71.072,42.35252
Honeylocust,7,--,Back Bay/Beacon Hill,-71.07531,42.35149
Honeylocust,11,--,Back Bay/Beacon Hill,-71.07459,42.35094
Honeylocust,4,--,Back Bay/Beacon Hill,-71.0716,42.35264
"Oak, Northern Red",13,--,Central Boston,-71.07059,42.34948
Honeylocust,3,--,Back Bay/Beacon Hill,-71.07145,42.35268
Honeylocust,5,--,Back Bay/Beacon Hill,-71.07885,42.35054
Honeylocust,12,--,Back Bay/Beacon Hill,-71.08354,42.34941
"Linden, Littleleaf",6,--,Back Bay/Beacon Hill,-71.08154,42.34981
Honeylocust,16,--,Back Bay/Beacon Hill,-71.08342,42.34944
"Maple, Red",14,--,Fenway/Longwood,-71.0931,42.3498
Honeylocust,15,--,Back Bay/Beacon Hill,-71.08237,42.34972
Honeylocust,16,--,Back Bay/Beacon Hill,-71.08195,42.3497
Honeylocust,14,--,Back Bay/Beacon Hill,-71.08263,42.34964
Honeylocust,9,--,Back Bay/Beacon Hill,-71.07919,42.35045
Honeylocust,7,--,Back Bay/Beacon Hill,-71.08367,42.34937
"Cherry, Japanese Flowering",3,--,East Boston,-71.03104,42.36517
"Oak, Swamp White",6,--,Dorchester,-71.05029,42.28968
Honeylocust,9,--,Charlestown,-71.06947,42.37908
"Maple, Red",6,--,Fenway/Longwood,-71.09531,42.34871
Honeylocust,12,--,Back Bay/Beacon Hill,-71.07776,42.35072
Honeylocust,7,--,Back Bay/Beacon Hill,-71.08052,42.35009
Honeylocust,15,--,Back Bay/Beacon Hill,-71.08527,42.34895
Honeylocust,11,--,Back Bay/Beacon Hill,-71.08037,42.35013
Honeylocust,6,--,Back Bay/Beacon Hill,-71.0752,42.35152
Honeylocust,9,--,Back Bay/Beacon Hill,-71.07778,42.35059
"Ash, Green",15,--,East Boston,-71.03405,42.36632
Honeylocust,13,--,Back Bay/Beacon Hill,-71.07674,42.3511
"Sweetgum, Common",2,--,Dorchester,-71.07439,42.27983
Honeylocust,9,--,Back Bay/Beacon Hill,-71.07771,42.35061
Honeylocust,2,--,Back Bay/Beacon Hill,-71.07784,42.3507
Honeylocust,11,--,Back Bay/Beacon Hill,-71.08884,42.34977
Honeylocust,6,--,Back Bay/Beacon Hill,-71.07762,42.35045
"Linden, Littleleaf",11,--,Back Bay/Beacon Hill,-71.07298,42.35025
Honeylocust,5,--,Back Bay/Beacon Hill,-71.07713,42.351
Apple/Crabapple,1,--,East Boston,-71.03433,42.36645
Honeylocust,11,--,Back Bay/Beacon Hill,-71.07768,42.35055
Honeylocust,11,--,Back Bay/Beacon Hill,-71.08869,42.34948
"Lilac, Japanese Tree",7,--,East Boston,-71.03934,42.38024
"Cherry, Yoshino Flowering",3,--,East Boston,-71.03564,42.38192
Honeylocust,5,--,Back Bay/Beacon Hill,-71.07831,42.35081
Honeylocust,11,--,Back Bay/Beacon Hill,-71.08904,42.34967
"Elm, Accolade",3,--,Back Bay/Beacon Hill,-71.08191,42.35195
"Linden, Littleleaf",3,--,Back Bay/Beacon Hill,-71.07011,42.35018
Honeylocust,13,--,Central Boston,-71.06954,42.34967
Honeylocust,10,--,Back Bay/Beacon Hill,-71.07903,42.35061
Honeylocust,8,--,Central Boston,-71.06873,42.34986
"Cherry, Japanese Flowering",4,--,East Boston,-71.02852,42.3789
Honeylocust,18,--,Charlestown,-71.06682,42.37573
"Maple, Red",3,--,Fenway/Longwood,-71.09741,42.34981
"Elm, American",42,--,Back Bay/Beacon Hill,-71.08268,42.35187
Honeylocust,4,--,East Boston,-71.0352,42.37093
"Linden, Littleleaf",12,--,East Boston,-70.99818,42.38902
Ginkgo,5,--,Back Bay/Beacon Hill,-71.08196,42.35206
"Maple, Red",5,--,Back Bay/Beacon Hill,-71.08246,42.35191
Tulip Tree,3,--,Central Boston,-71.06767,42.34883
"Maple, Red",5,--,Back Bay/Beacon Hill,-71.07315,42.35431
Honeylocust,17,--,Central Boston,-71.06823,42.34849
"Tupelo, Black",2,Fall 2024,Back Bay/Beacon Hill,-71.08165,42.35215
Honeylocust,7,--,Central Boston,-71.06935,42.34885
"Linden, Littleleaf",19,--,Back Bay/Beacon Hill,-71.07942,42.3535
"Linden, Littleleaf",3,--,Back Bay/Beacon Hill,-71.0705,42.35008
"Linden, Littleleaf",3,--,Back Bay/Beacon Hill,-71.07065,42.35004
"Oak, Pin",2,Spring 2024,Back Bay/Beacon Hill,-71.08144,42.34996
"Linden, Littleleaf",3,--,Back Bay/Beacon Hill,-71.07028,42.35013
Honeylocust,10,--,Back Bay/Beacon Hill,-71.07976,42.35043
"Linden, Littleleaf",22,--,Back Bay/Beacon Hill,-71.08604,42.35083
"Oak, Swamp White",6,--,East Boston,-71.01394,42.38416
